,xpsp0,xpsp1,xpsp2,win7sp0,win7sp1
ArbPreprocessEntry,,,,,
KeRestoreFloatingPointState,,,,,
NtAcceptConnectPort,0x0060,0x0060,0x0060,0x0060,0x0060
NtAccessCheck,0x0061,0x0061,0x0061,0x0061,0x0061
NtAccessCheckAndAuditAlarm,0x0026,0x0026,0x0026,0x0026,0x0026
NtAccessCheckByType,0x0062,0x0062,0x0062,0x0062,0x0062
NtAccessCheckByTypeAndAuditAlarm,0x0056,0x0056,0x0056,0x0056,0x0056
NtAccessCheckByTypeResultList,0x0063,0x0063,0x0063,0x0063,0x0063
NtAccessCheckByTypeResultListAndAuditAlarm,0x0064,0x0064,0x0064,0x0064,0x0064
NtAccessCheckByTypeResultListAndAuditAlarmByHandle,0x0065,0x0065,0x0065,0x0065,0x0065
NtAcquireCMFViewOwnership,,,,,
NtAddAtom,0x0044,0x0044,0x0044,0x0044,0x0044
NtAddAtomEx,,,,,
NtAddBootEntry,,,,0x0066,0x0066
NtAddDriverEntry,,,,0x0067,0x0067
NtAdjustGroupsToken,0x0068,0x0068,0x0068,0x0068,0x0068
NtAdjustPrivilegesToken,0x003e,0x003e,0x003e,0x003e,0x003e
NtAlertResumeThread,0x0069,0x0069,0x0069,0x0069,0x0069
NtAlertThread,0x006a,0x006a,0x006a,0x006a,0x006a
NtAlertThreadByThreadId,,,,,
NtAllocateLocallyUniqueId,0x006b,0x006b,0x006b,0x006b,0x006b
NtAllocateReserveObject,,,,0x006c,0x006c
NtAllocateUserPhysicalPages,0x006c,0x006c,0x006c,0x006d,0x006d
NtAllocateUuids,0x006d,0x006d,0x006d,0x006e,0x006e
NtAllocateVirtualMemory,0x0015,0x0015,0x0015,0x0015,0x0015
NtAlpcAcceptConnectPort,,,,0x006f,0x006f
NtAlpcCancelMessage,,,,0x0070,0x0070
NtAlpcConnectPort,,,,0x0071,0x0071
NtAlpcConnectPortEx,,,,,
NtAlpcCreatePort,,,,0x0072,0x0072
NtAlpcCreatePortSection,,,,0x0073,0x0073
NtAlpcCreateResourceReserve,,,,0x0074,0x0074
NtAlpcCreateSectionView,,,,0x0075,0x0075
NtAlpcCreateSecurityContext,,,,0x0076,0x0076
NtAlpcDeletePortSection,,,,0x0077,0x0077
NtAlpcDeleteResourceReserve,,,,0x0078,0x0078
NtAlpcDeleteSectionView,,,,0x0079,0x0079
NtAlpcDeleteSecurityContext,,,,0x007a,0x007a
NtAlpcDisconnectPort,,,,0x007b,0x007b
NtAlpcImpersonateClientOfPort,,,,0x007c,0x007c
NtAlpcOpenSenderProcess,,,,0x007d,0x007d
NtAlpcOpenSenderThread,,,,0x007e,0x007e
NtAlpcQueryInformation,,,,0x007f,0x007f
NtAlpcQueryInformationMessage,,,,0x0080,0x0080
NtAlpcRevokeSecurityContext,,,,0x0081,0x0081
NtAlpcSendWaitReceivePort,,,,0x0082,0x0082
NtAlpcSetInformation,,,,0x0083,0x0083
NtApphelpCacheControl,0x0049,0x0049,0x0049,0x0049,0x0049
NtAreMappedFilesTheSame,0x006e,0x006e,0x006e,0x0084,0x0084
NtAssignProcessToJobObject,0x006f,0x006f,0x006f,0x0085,0x0085
NtAssociateWaitCompletionPacket,,,,,
NtCallbackReturn,0x0002,0x0002,0x0002,0x0002,0x0002
NtCancelIoFile,0x005a,0x005a,0x005a,0x005a,0x005a
NtCancelIoFileEx,,,,0x0086,0x0086
NtCancelSynchronousIoFile,,,,0x0087,0x0087
NtCancelTimer,0x005e,0x005e,0x005e,0x005e,0x005e
NtCancelWaitCompletionPacket,,,,,
NtClearEvent,0x003b,0x003b,0x003b,0x003b,0x003b
NtClose,0x000c,0x000c,0x000c,0x000c,0x000c
NtCloseObjectAuditAlarm,0x0038,0x0038,0x0038,0x0038,0x0038
NtCommitComplete,,,,0x0088,0x0088
NtCommitEnlistment,,,,0x0089,0x0089
NtCommitTransaction,,,,0x008a,0x008a
NtCompactKeys,0x0071,0x0071,0x0071,0x008b,0x008b
NtCompareTokens,0x0072,0x0072,0x0072,0x008c,0x008c
NtCompleteConnectPort,0x0073,0x0073,0x0073,,
NtCompressKey,0x0074,0x0074,0x0074,0x008e,0x008e
NtConnectPort,0x0075,0x0075,0x0075,0x008f,0x008f
NtContinue,0x0040,0x0040,0x0040,0x0040,0x0040
NtCreateDebugObject,0x0076,0x0076,0x0076,0x0090,0x0090
NtCreateDirectoryObject,0x0077,0x0077,0x0077,0x0091,0x0091
NtCreateDirectoryObjectEx,,,,,
NtCreateEnlistment,,,,0x0092,0x0092
NtCreateEvent,0x0045,0x0045,0x0045,0x0045,0x0045
NtCreateEventPair,0x0078,0x0078,0x0078,0x0093,0x0093
NtCreateFile,0x0052,0x0052,0x0052,0x0052,0x0052
NtCreateIoCompletion,0x0079,0x0079,0x0079,0x0094,0x0094
NtCreateJobObject,0x007a,0x007a,0x007a,0x0095,0x0095
NtCreateJobSet,0x007b,0x007b,0x007b,0x0096,0x0096
NtCreateKey,0x001a,0x001a,0x001a,0x001a,0x001a
NtCreateKeyTransacted,,,,0x0097,0x0097
NtCreateKeyedEvent,0x007c,0x007c,0x007c,0x0098,0x0098
NtCreateLowBoxToken,,,,,
NtCreateMailslotFile,0x007d,0x007d,0x007d,0x0099,0x0099
NtCreateMutant,0x007e,0x007e,0x007e,0x009a,0x009a
NtCreateNamedPipeFile,0x007f,0x007f,0x007f,0x009b,0x009b
NtCreatePagingFile,0x0080,0x0080,0x0080,0x009c,0x009c
NtCreatePort,0x0081,0x0081,0x0081,0x009d,0x009d
NtCreatePrivateNamespace,,,,0x009e,0x009e
NtCreateProcess,0x0082,0x0082,0x0082,0x009f,0x009f
NtCreateProcessEx,0x004a,0x004a,0x004a,0x004a,0x004a
NtCreateProfile,0x0083,0x0083,0x0083,0x00a0,0x00a0
NtCreateProfileEx,,,,0x00a1,0x00a1
NtCreateResourceManager,,,,0x00a2,0x00a2
NtCreateSection,0x0047,0x0047,0x0047,0x0047,0x0047
NtCreateSemaphore,0x0084,0x0084,0x0084,0x00a3,0x00a3
NtCreateSymbolicLinkObject,0x0085,0x0085,0x0085,0x00a4,0x00a4
NtCreateThread,0x004b,0x004b,0x004b,0x004b,0x004b
NtCreateThreadEx,,,,0x00a5,0x00a5
NtCreateTimer,0x0086,0x0086,0x0086,0x00a6,0x00a6
NtCreateToken,0x0087,0x0087,0x0087,0x00a7,0x00a7
NtCreateTokenEx,,,,,
NtCreateTransaction,,,,0x00a8,0x00a8
NtCreateTransactionManager,,,,0x00a9,0x00a9
NtCreateUserProcess,,,,0x00aa,0x00aa
NtCreateWaitCompletionPacket,,,,,
NtCreateWaitablePort,0x0088,0x0088,0x0088,0x00ab,0x00ab
NtCreateWnfStateName,,,,,
NtCreateWorkerFactory,,,,0x00ac,0x00ac
NtDebugActiveProcess,0x0089,0x0089,0x0089,0x00ad,0x00ad
NtDebugContinue,0x008a,0x008a,0x008a,0x00ae,0x00ae
NtDelayExecution,0x0031,0x0031,0x0031,0x0031,0x0031
NtDeleteAtom,0x008b,0x008b,0x008b,0x00af,0x00af
NtDeleteBootEntry,,,,0x00b0,0x00b0
NtDeleteDriverEntry,,,,0x00b1,0x00b1
NtDeleteFile,0x008e,0x008e,0x008e,0x00b2,0x00b2
NtDeleteKey,0x008f,0x008f,0x008f,0x00b3,0x00b3
NtDeleteObjectAuditAlarm,0x0090,0x0090,0x0090,0x00b4,0x00b4
NtDeletePrivateNamespace,,,,0x00b5,0x00b5
NtDeleteValueKey,0x0091,0x0091,0x0091,0x00b6,0x00b6
NtDeleteWnfStateData,,,,,
NtDeleteWnfStateName,,,,,
NtDeviceIoControlFile,0x0004,0x0004,0x0004,0x0004,0x0004
NtDisableLastKnownGood,,,,0x00b7,0x00b7
NtDisplayString,0x0092,0x0092,0x0092,0x00b8,0x00b8
NtDrawText,,,,0x00b9,0x00b9
NtDuplicateObject,0x0039,0x0039,0x0039,0x0039,0x0039
NtDuplicateToken,0x003f,0x003f,0x003f,0x003f,0x003f
NtEnableLastKnownGood,,,,0x00ba,0x00ba
NtEnumerateBootEntries,,,,0x00bb,0x00bb
NtEnumerateDriverEntries,,,,0x00bc,0x00bc
NtEnumerateKey,0x002f,0x002f,0x002f,0x002f,0x002f
NtEnumerateSystemEnvironmentValuesEx,,,,0x00bd,0x00bd
NtEnumerateTransactionObject,,,,0x00be,0x00be
NtEnumerateValueKey,0x0010,0x0010,0x0010,0x0010,0x0010
NtExtendSection,0x0096,0x0096,0x0096,0x00bf,0x00bf
NtFilterToken,0x0097,0x0097,0x0097,0x00c0,0x00c0
NtFindAtom,0x0011,0x0011,0x0011,0x0011,0x0011
NtFlushBuffersFile,0x0048,0x0048,0x0048,0x0048,0x0048
NtFlushBuffersFileEx,,,,,
NtFlushInstallUILanguage,,,,0x00c1,0x00c1
NtFlushInstructionCache,0x0098,0x0098,0x0098,0x00c2,0x00c2
NtFlushKey,0x0099,0x0099,0x0099,0x00c3,0x00c3
NtFlushProcessWriteBuffers,,,,0x00c4,0x00c4
NtFlushVirtualMemory,0x009a,0x009a,0x009a,0x00c5,0x00c5
NtFlushWriteBuffer,0x009b,0x009b,0x009b,0x00c6,0x00c6
NtFreeUserPhysicalPages,0x009c,0x009c,0x009c,0x00c7,0x00c7
NtFreeVirtualMemory,0x001b,0x001b,0x001b,0x001b,0x001b
NtFreezeRegistry,,,,0x00c8,0x00c8
NtFreezeTransactions,,,,0x00c9,0x00c9
NtFsControlFile,0x0036,0x0036,0x0036,0x0036,0x0036
NtGetContextThread,0x009d,0x009d,0x009d,0x00ca,0x00ca
NtGetCurrentProcessorNumber,0x009e,0x009e,0x009e,0x00cb,0x00cb
NtGetDevicePowerState,0x009f,0x009f,0x009f,0x00cc,0x00cc
NtGetMUIRegistryInfo,,,,0x00cd,0x00cd
NtGetNextProcess,,,,0x00ce,0x00ce
NtGetNextThread,,,,0x00cf,0x00cf
NtGetNlsSectionPtr,,,,0x00d0,0x00d0
NtGetNotificationResourceManager,,,,0x00d1,0x00d1
NtGetPlugPlayEvent,0x00a0,0x00a0,0x00a0,0x00d2,0x00d2
NtGetWriteWatch,0x00a1,0x00a1,0x00a1,0x00d3,0x00d3
NtImpersonateAnonymousToken,0x00a2,0x00a2,0x00a2,0x00d4,0x00d4
NtImpersonateClientOfPort,0x001c,0x001c,0x001c,0x001c,0x001c
NtImpersonateThread,0x00a3,0x00a3,0x00a3,0x00d5,0x00d5
NtInitializeNlsFiles,,,,0x00d6,0x00d6
NtInitializeRegistry,0x00a4,0x00a4,0x00a4,0x00d7,0x00d7
NtInitiatePowerAction,0x00a5,0x00a5,0x00a5,0x00d8,0x00d8
NtIsProcessInJob,0x004c,0x004c,0x004c,0x004c,0x004c
NtIsSystemResumeAutomatic,0x00a6,0x00a6,0x00a6,0x00d9,0x00d9
NtIsUILanguageComitted,,,,0x00da,0x00da
NtListenPort,0x00a7,0x00a7,0x00a7,0x00db,0x00db
NtLoadDriver,0x00a8,0x00a8,0x00a8,0x00dc,0x00dc
NtLoadKey,0x00a9,0x00a9,0x00a9,0x00dd,0x00dd
NtLoadKey2,0x00aa,0x00aa,0x00aa,0x00de,0x00de
NtLoadKeyEx,0x00ab,0x00ab,0x00ab,0x00df,0x00df
NtLockFile,0x00ac,0x00ac,0x00ac,0x00e0,0x00e0
NtLockProductActivationKeys,0x00ad,0x00ad,0x00ad,0x00e1,0x00e1
NtLockRegistryKey,0x00ae,0x00ae,0x00ae,0x00e2,0x00e2
NtLockVirtualMemory,0x00af,0x00af,0x00af,0x00e3,0x00e3
NtMakePermanentObject,0x00b0,0x00b0,0x00b0,0x00e4,0x00e4
NtMakeTemporaryObject,0x00b1,0x00b1,0x00b1,0x00e5,0x00e5
NtMapCMFModule,,,,0x00e6,0x00e6
NtMapUserPhysicalPages,0x00b2,0x00b2,0x00b2,0x00e7,0x00e7
NtMapUserPhysicalPagesScatter,0x0000,0x0000,0x0000,0x0000,0x0000
NtMapViewOfSection,0x0025,0x0025,0x0025,0x0025,0x0025
NtModifyBootEntry,,,,0x00e8,0x00e8
NtModifyDriverEntry,,,,0x00e9,0x00e9
NtNotifyChangeDirectoryFile,0x00b5,0x00b5,0x00b5,0x00ea,0x00ea
NtNotifyChangeKey,0x00b6,0x00b6,0x00b6,0x00eb,0x00eb
NtNotifyChangeMultipleKeys,0x00b7,0x00b7,0x00b7,0x00ec,0x00ec
NtNotifyChangeSession,,,,0x00ed,0x00ed
NtOpenDirectoryObject,0x0055,0x0055,0x0055,0x0055,0x0055
NtOpenEnlistment,,,,0x00ee,0x00ee
NtOpenEvent,0x003d,0x003d,0x003d,0x003d,0x003d
NtOpenEventPair,0x00b8,0x00b8,0x00b8,0x00ef,0x00ef
NtOpenFile,0x0030,0x0030,0x0030,0x0030,0x0030
NtOpenIoCompletion,0x00b9,0x00b9,0x00b9,0x00f0,0x00f0
NtOpenJobObject,0x00ba,0x00ba,0x00ba,0x00f1,0x00f1
NtOpenKey,0x000f,0x000f,0x000f,0x000f,0x000f
NtOpenKeyEx,,,,0x00f2,0x00f2
NtOpenKeyTransacted,,,,0x00f3,0x00f3
NtOpenKeyTransactedEx,,,,0x00f4,0x00f4
NtOpenKeyedEvent,0x00bb,0x00bb,0x00bb,0x00f5,0x00f5
NtOpenMutant,0x00bc,0x00bc,0x00bc,0x00f6,0x00f6
NtOpenObjectAuditAlarm,0x00bd,0x00bd,0x00bd,0x00f7,0x00f7
NtOpenPrivateNamespace,,,,0x00f8,0x00f8
NtOpenProcess,0x0023,0x0023,0x0023,0x0023,0x0023
NtOpenProcessToken,0x00be,0x00be,0x00be,0x00f9,0x00f9
NtOpenProcessTokenEx,0x002d,0x002d,0x002d,0x002d,0x002d
NtOpenResourceManager,,,,0x00fa,0x00fa
NtOpenSection,0x0034,0x0034,0x0034,0x0034,0x0034
NtOpenSemaphore,0x00bf,0x00bf,0x00bf,0x00fb,0x00fb
NtOpenSession,,,,0x00fc,0x00fc
NtOpenSymbolicLinkObject,0x00c0,0x00c0,0x00c0,0x00fd,0x00fd
NtOpenThread,0x00c1,0x00c1,0x00c1,0x00fe,0x00fe
NtOpenThreadToken,0x0021,0x0021,0x0021,0x0021,0x0021
NtOpenThreadTokenEx,0x002c,0x002c,0x002c,0x002c,0x002c
NtOpenTimer,0x00c2,0x00c2,0x00c2,0x00ff,0x00ff
NtOpenTransaction,,,,0x0100,0x0100
NtOpenTransactionManager,,,,0x0101,0x0101
NtPlugPlayControl,0x00c3,0x00c3,0x00c3,0x0102,0x0102
NtPowerInformation,0x005c,0x005c,0x005c,0x005c,0x005c
NtPrePrepareComplete,,,,0x0103,0x0103
NtPrePrepareEnlistment,,,,0x0104,0x0104
