,xpsp0,xpsp1,xpsp2,win7sp0,win7sp1
NtPrefetchVirtualMemory,,,,,
NtPrepareComplete,,,,0x0105,0x0105
NtPrepareEnlistment,,,,0x0106,0x0106
NtPrivilegeCheck,0x00c4,0x00c4,0x00c4,0x0107,0x0107
NtPrivilegeObjectAuditAlarm,0x00c5,0x00c5,0x00c5,0x0108,0x0108
NtPrivilegedServiceAuditAlarm,0x00c6,0x00c6,0x00c6,0x0109,0x0109
NtPropagationComplete,,,,0x010a,0x010a
NtPropagationFailed,,,,0x010b,0x010b
NtProtectVirtualMemory,0x004d,0x004d,0x004d,0x004d,0x004d
NtPulseEvent,0x00c7,0x00c7,0x00c7,0x010c,0x010c
NtQueryAttributesFile,0x003a,0x003a,0x003a,0x003a,0x003a
NtQueryBootEntryOrder,,,,0x010d,0x010d
NtQueryBootOptions,0x0066,0x0066,0x0066,0x010e,0x010e
NtQueryDebugFilterState,0x00ca,0x00ca,0x00ca,0x010f,0x010f
NtQueryDefaultLocale,0x0012,0x0012,0x0012,0x0012,0x0012
NtQueryDefaultUILanguage,0x0041,0x0041,0x0041,0x0041,0x0041
NtQueryDirectoryFile,0x0032,0x0032,0x0032,0x0032,0x0032
NtQueryDirectoryObject,0x00cb,0x00cb,0x00cb,0x0110,0x0110
NtQueryDriverEntryOrder,,,,0x0111,0x0111
NtQueryEaFile,0x00cd,0x00cd,0x00cd,0x0112,0x0112
NtQueryEvent,0x0053,0x0053,0x0053,0x0053,0x0053
NtQueryFullAttributesFile,0x00ce,0x00ce,0x00ce,0x0113,0x0113
NtQueryInformationAtom,0x00cf,0x00cf,0x00cf,0x0114,0x0114
NtQueryInformationEnlistment,,,,0x0115,0x0115
NtQueryInformationFile,0x000e,0x000e,0x000e,0x000e,0x000e
NtQueryInformationJobObject,0x00d0,0x00d0,0x00d0,0x0116,0x0116
NtQueryInformationPort,0x00d1,0x00d1,0x00d1,0x0117,0x0117
NtQueryInformationProcess,0x0016,0x0016,0x0016,0x0016,0x0016
NtQueryInformationResourceManager,,,,0x0118,0x0118
NtQueryInformationThread,0x0022,0x0022,0x0022,0x0022,0x0022
NtQueryInformationToken,0x001e,0x001e,0x001e,0x001e,0x001e
NtQueryInformationTransaction,,,,0x0119,0x0119
NtQueryInformationTransactionManager,,,,0x011a,0x011a
NtQueryInformationWorkerFactory,,,,0x011b,0x011b
NtQueryInstallUILanguage,0x00d2,0x00d2,0x00d2,0x011c,0x011c
NtQueryIntervalProfile,0x00d3,0x00d3,0x00d3,0x011d,0x011d
NtQueryIoCompletion,0x00d4,0x00d4,0x00d4,0x011e,0x011e
NtQueryKey,0x0013,0x0013,0x0013,0x0013,0x0013
NtQueryLicenseValue,,,,0x011f,0x011f
NtQueryMultipleValueKey,0x00d5,0x00d5,0x00d5,0x0120,0x0120
NtQueryMutant,0x00d6,0x00d6,0x00d6,0x0121,0x0121
NtQueryObject,0x000d,0x000d,0x000d,0x000d,0x000d
NtQueryOpenSubKeys,0x00d7,0x00d7,0x00d7,0x0122,0x0122
NtQueryOpenSubKeysEx,0x00d8,0x00d8,0x00d8,0x0123,0x0123
NtQueryPerformanceCounter,0x002e,0x002e,0x002e,0x002e,0x002e
NtQueryPortInformationProcess,,,,0x0124,0x0124
NtQueryQuotaInformationFile,0x00da,0x00da,0x00da,0x0125,0x0125
NtQuerySection,0x004e,0x004e,0x004e,0x004e,0x004e
NtQuerySecurityAttributesToken,,,,0x0126,0x0126
NtQuerySecurityObject,0x00db,0x00db,0x00db,0x0127,0x0127
NtQuerySemaphore,0x00dc,0x00dc,0x00dc,0x0128,0x0128
NtQuerySymbolicLinkObject,0x00dd,0x00dd,0x00dd,0x0129,0x0129
NtQuerySystemEnvironmentValue,0x00de,0x00de,0x00de,0x012a,0x012a
NtQuerySystemEnvironmentValueEx,,,,0x012b,0x012b
NtQuerySystemInformation,0x0033,0x0033,0x0033,0x0033,0x0033
NtQuerySystemInformationEx,,,,0x012c,0x012c
NtQuerySystemTime,0x0057,0x0057,0x0057,0x0057,0x0057
NtQueryTimer,0x0035,0x0035,0x0035,0x0035,0x0035
NtQueryTimerResolution,0x00e0,0x00e0,0x00e0,0x012d,0x012d
NtQueryValueKey,0x0014,0x0014,0x0014,0x0014,0x0014
NtQueryVirtualMemory,0x0020,0x0020,0x0020,0x0020,0x0020
NtQueryVolumeInformationFile,0x0046,0x0046,0x0046,0x0046,0x0046
NtQueryWnfStateData,,,,,
NtQueryWnfStateNameInformation,,,,,
NtQueueApcThread,0x0042,0x0042,0x0042,0x0042,0x0042
NtQueueApcThreadEx,,,,0x012e,0x012e
NtRaiseException,0x00e1,0x00e1,0x00e1,0x012f,0x012f
NtRaiseHardError,0x00e2,0x00e2,0x00e2,0x0130,0x0130
NtReadFile,0x0003,0x0003,0x0003,0x0003,0x0003
NtReadFileScatter,0x002b,0x002b,0x002b,0x002b,0x002b
NtReadOnlyEnlistment,,,,0x0131,0x0131
NtReadRequestData,0x0051,0x0051,0x0051,0x0051,0x0051
NtReadVirtualMemory,0x003c,0x003c,0x003c,0x003c,0x003c
NtRecoverEnlistment,,,,0x0132,0x0132
NtRecoverResourceManager,,,,0x0133,0x0133
NtRecoverTransactionManager,,,,0x0134,0x0134
NtRegisterProtocolAddressInformation,,,,0x0135,0x0135
NtRegisterThreadTerminatePort,0x00e3,0x00e3,0x00e3,0x0136,0x0136
NtReleaseCMFViewOwnership,,,,,
NtReleaseKeyedEvent,0x00e4,0x00e4,0x00e4,0x0137,0x0137
NtReleaseMutant,0x001d,0x001d,0x001d,0x001d,0x001d
NtReleaseSemaphore,0x0007,0x0007,0x0007,0x0007,0x0007
NtReleaseWorkerFactoryWorker,,,,0x0138,0x0138
NtRemoveIoCompletion,0x0006,0x0006,0x0006,0x0006,0x0006
NtRemoveIoCompletionEx,,,,0x0139,0x0139
NtRemoveProcessDebug,0x00e5,0x00e5,0x00e5,0x013a,0x013a
NtRenameKey,0x00e6,0x00e6,0x00e6,0x013b,0x013b
NtRenameTransactionManager,,,,0x013c,0x013c
NtReplaceKey,0x00e7,0x00e7,0x00e7,0x013d,0x013d
NtReplacePartitionUnit,,,,0x013e,0x013e
NtReplyPort,0x0009,0x0009,0x0009,0x0009,0x0009
NtReplyWaitReceivePort,0x0008,0x0008,0x0008,0x0008,0x0008
NtReplyWaitReceivePortEx,0x0028,0x0028,0x0028,0x0028,0x0028
NtReplyWaitReplyPort,0x00e8,0x00e8,0x00e8,0x013f,0x013f
NtRequestDeviceWakeup,,,,,
NtRequestPort,0x00ea,0x00ea,0x00ea,0x0140,0x0140
NtRequestWaitReplyPort,0x001f,0x001f,0x001f,0x001f,0x001f
NtRequestWakeupLatency,0x00eb,0x00eb,0x00eb,,
NtResetEvent,0x00ec,0x00ec,0x00ec,0x0141,0x0141
NtResetWriteWatch,0x00ed,0x00ed,0x00ed,0x0142,0x0142
NtRestoreKey,0x00ee,0x00ee,0x00ee,0x0143,0x0143
NtResumeProcess,0x00ef,0x00ef,0x00ef,0x0144,0x0144
NtResumeThread,0x004f,0x004f,0x004f,0x004f,0x004f
NtRollbackComplete,,,,0x0145,0x0145
NtRollbackEnlistment,,,,0x0146,0x0146
NtRollbackTransaction,,,,0x0147,0x0147
NtRollforwardTransactionManager,,,,0x0148,0x0148
NtSaveKey,0x00f0,0x00f0,0x00f0,0x0149,0x0149
NtSaveKeyEx,0x00f1,0x00f1,0x00f1,0x014a,0x014a
NtSaveMergedKeys,0x00f2,0x00f2,0x00f2,0x014b,0x014b
NtSavepointTransaction,,,,,
NtSecureConnectPort,0x00f3,0x00f3,0x00f3,0x014c,0x014c
NtSerializeBoot,,,,0x014d,0x014d
NtSetBootEntryOrder,,,,0x014e,0x014e
NtSetBootOptions,,,,0x014f,0x014f
NtSetContextThread,0x00f6,0x00f6,0x00f6,0x0150,0x0150
NtSetDebugFilterState,0x00f7,0x00f7,0x00f7,0x0151,0x0151
NtSetDefaultHardErrorPort,0x00f8,0x00f8,0x00f8,0x0152,0x0152
NtSetDefaultLocale,0x00f9,0x00f9,0x00f9,0x0153,0x0153
NtSetDefaultUILanguage,0x00fa,0x00fa,0x00fa,0x0154,0x0154
NtSetDriverEntryOrder,,,,0x0155,0x0155
NtSetEaFile,0x00fc,0x00fc,0x00fc,0x0156,0x0156
NtSetEvent,0x000b,0x000b,0x000b,0x000b,0x000b
NtSetEventBoostPriority,0x002a,0x002a,0x002a,0x002a,0x002a
NtSetHighEventPair,0x00fd,0x00fd,0x00fd,0x0157,0x0157
NtSetHighWaitLowEventPair,0x00fe,0x00fe,0x00fe,0x0158,0x0158
NtSetInformationDebugObject,0x00ff,0x00ff,0x00ff,0x0159,0x0159
NtSetInformationEnlistment,,,,0x015a,0x015a
NtSetInformationFile,0x0024,0x0024,0x0024,0x0024,0x0024
NtSetInformationJobObject,0x0100,0x0100,0x0100,0x015b,0x015b
NtSetInformationKey,0x0101,0x0101,0x0101,0x015c,0x015c
NtSetInformationObject,0x0059,0x0059,0x0059,0x0059,0x0059
NtSetInformationProcess,0x0019,0x0019,0x0019,0x0019,0x0019
NtSetInformationResourceManager,,,,0x015d,0x015d
NtSetInformationThread,0x000a,0x000a,0x000a,0x000a,0x000a
NtSetInformationToken,0x0102,0x0102,0x0102,0x015e,0x015e
NtSetInformationTransaction,,,,0x015f,0x015f
NtSetInformationTransactionManager,,,,0x0160,0x0160
NtSetInformationWorkerFactory,,,,0x0161,0x0161
NtSetIntervalProfile,0x0103,0x0103,0x0103,0x0162,0x0162
NtSetIoCompletion,0x0104,0x0104,0x0104,0x0163,0x0163
NtSetIoCompletionEx,,,,0x0164,0x0164
NtSetLdtEntries,,,,,
NtSetLowEventPair,0x0106,0x0106,0x0106,0x0166,0x0166
NtSetLowWaitHighEventPair,0x0107,0x0107,0x0107,0x0167,0x0167
NtSetQuotaInformationFile,0x0108,0x0108,0x0108,0x0168,0x0168
NtSetSecurityObject,0x0109,0x0109,0x0109,0x0169,0x0169
NtSetSystemCodeIntegrityRoots,,,,,
NtSetSystemEnvironmentValue,0x010a,0x010a,0x010a,0x016a,0x016a
NtSetSystemEnvironmentValueEx,,,,0x016b,0x016b
NtSetSystemInformation,0x010c,0x010c,0x010c,0x016c,0x016c
NtSetSystemPowerState,0x010d,0x010d,0x010d,0x016d,0x016d
NtSetSystemTime,0x010e,0x010e,0x010e,0x016e,0x016e
NtSetThreadExecutionState,0x010f,0x010f,0x010f,0x016f,0x016f
NtSetTimer,0x005f,0x005f,0x005f,0x005f,0x005f
NtSetTimerEx,,,,0x0170,0x0170
NtSetTimerResolution,0x0110,0x0110,0x0110,0x0171,0x0171
NtSetUuidSeed,0x0111,0x0111,0x0111,0x0172,0x0172
NtSetValueKey,0x005d,0x005d,0x005d,0x005d,0x005d
NtSetVolumeInformationFile,0x0112,0x0112,0x0112,0x0173,0x0173
NtShutdownSystem,0x0113,0x0113,0x0113,0x0174,0x0174
NtShutdownWorkerFactory,,,,0x0175,0x0175
NtSignalAndWaitForSingleObject,0x0114,0x0114,0x0114,0x0176,0x0176
NtSinglePhaseReject,,,,0x0177,0x0177
NtStartProfile,0x0115,0x0115,0x0115,0x0178,0x0178
NtStopProfile,0x0116,0x0116,0x0116,0x0179,0x0179
NtSubscribeWnfStateChange,,,,,
NtSuspendProcess,0x0117,0x0117,0x0117,0x017a,0x017a
NtSuspendThread,0x0118,0x0118,0x0118,0x017b,0x017b
NtSystemDebugControl,0x0119,0x0119,0x0119,0x017c,0x017c
NtTerminateJobObject,0x011a,0x011a,0x011a,0x017d,0x017d
NtTerminateProcess,0x0029,0x0029,0x0029,0x0029,0x0029
NtTerminateThread,0x0050,0x0050,0x0050,0x0050,0x0050
NtTestAlert,0x011b,0x011b,0x011b,0x017e,0x017e
NtThawRegistry,,,,0x017f,0x017f
NtThawTransactions,,,,0x0180,0x0180
NtTraceControl,,,,0x0181,0x0181
NtTraceEvent,0x005b,0x005b,0x005b,0x005b,0x005b
NtTranslateFilePath,,,,0x0182,0x0182
NtUmsThreadYield,,,,0x0183,0x0183
NtUnloadDriver,0x011d,0x011d,0x011d,0x0184,0x0184
NtUnloadKey,0x011e,0x011e,0x011e,0x0185,0x0185
NtUnloadKey2,0x011f,0x011f,0x011f,0x0186,0x0186
NtUnloadKeyEx,0x0120,0x0120,0x0120,0x0187,0x0187
NtUnlockFile,0x0121,0x0121,0x0121,0x0188,0x0188
NtUnlockVirtualMemory,0x0122,0x0122,0x0122,0x0189,0x0189
NtUnmapViewOfSection,0x0027,0x0027,0x0027,0x0027,0x0027
NtUnmapViewOfSectionEx,,,,,
NtUnsubscribeWnfStateChange,,,,,
NtUpdateWnfStateData,,,,,
NtVdmControl,0x0123,0x0123,0x0123,0x018a,0x018a
NtWaitForAlertByThreadId,,,,,
NtWaitForDebugEvent,0x0124,0x0124,0x0124,0x018b,0x018b
NtWaitForKeyedEvent,0x0125,0x0125,0x0125,0x018c,0x018c
NtWaitForMultipleObjects,0x0058,0x0058,0x0058,0x0058,0x0058
NtWaitForMultipleObjects32,0x0017,0x0017,0x0017,0x0017,0x0017
NtWaitForSingleObject,0x0001,0x0001,0x0001,0x0001,0x0001
NtWaitForWnfNotifications,,,,,
NtWaitForWorkViaWorkerFactory,,,,0x018d,0x018d
NtWaitHighEventPair,0x0126,0x0126,0x0126,0x018e,0x018e
NtWaitLowEventPair,0x0127,0x0127,0x0127,0x018f,0x018f
NtWorkerFactoryWorkerReady,,,,0x0190,0x0190
NtWriteFile,0x0005,0x0005,0x0005,0x0005,0x0005
NtWriteFileGather,0x0018,0x0018,0x0018,0x0018,0x0018
NtWriteRequestData,0x0054,0x0054,0x0054,0x0054,0x0054
NtWriteVirtualMemory,0x0037,0x0037,0x0037,0x0037,0x0037
NtYieldExecution,0x0043,0x0043,0x0043,0x0043,0x0043
ShimExceptionHandler,0x00d9,0x00d9,0x00d9,,
xHalAllocatePmcCounterSet,,,,,
xHalGetInterruptTranslator,,,,0x008d,0x008d
xHalPostMicrocodeUpdate,,,,,
xKdReleaseIntegratedDeviceForDebugging,,,,,
xKdSetupPciDeviceForDebugging,0x0105,0x0105,0x0105 ,0x0165,0x0165
